LinkID,MediaID,OwnerType,OwnerID,IsPrimary,Include1,Include2,Include3,Include4,SortOrder,RectLeft,RectTop,RectRight,RectBottom,Comments,UTCModDate
178,36,4,248,0,0,0,0,0,0,0,0,0,0,,45165.7132688194
179,47,4,249,0,0,0,0,0,0,0,0,0,0,,45165.7132688194
180,25,4,250,0,0,0,0,0,0,0,0,0,0,,45165.7132688194
181,13,4,251,0,0,0,0,0,0,0,0,0,0,,45165.7132688194
182,48,4,252,0,0,0,0,0,0,0,0,0,0,,45165.7132688194
183,48,4,256,0,0,0,0,0,0,0,0,0,0,,45165.7132688194
184,13,4,257,0,0,0,0,0,0,0,0,0,0,,45165.7132688194
185,25,4,258,0,0,0,0,0,0,0,0,0,0,,45165.7132688194
186,47,4,259,0,0,0,0,0,0,0,0,0,0,,45165.7132688194
187,36,4,260,0,0,0,0,0,0,0,0,0,0,,45165.7132688194
188,54,4,261,0,0,0,0,0,0,0,0,0,0,,45165.7132689931
189,54,2,417,0,0,0,0,0,0,0,0,0,0,,45165.7132689931
190,55,4,263,0,0,0,0,0,0,0,0,0,0,,45165.7132689931
191,55,2,419,0,0,0,0,0,0,0,0,0,0,,45165.7132689931
192,47,4,264,0,0,0,0,0,0,0,0,0,0,,45165.7132689931
193,56,0,349,1,0,0,0,0,0,0,0,0,0,,45165.7132689931
194,57,0,349,0,0,0,0,0,0,0,0,0,0,,45165.7132689931
195,54,0,349,0,0,0,0,0,0,0,0,0,0,,45165.7132689931
196,55,0,349,0,0,0,0,0,0,0,0,0,0,,45165.7132689931
197,25,4,266,0,0,0,0,0,0,0,0,0,0,,45165.7132714815
198,48,4,267,0,0,0,0,0,0,0,0,0,0,,45165.7132714815
199,31,4,268,0,0,0,0,0,0,0,0,0,0,,45165.7132714815
200,38,4,269,0,0,0,0,0,0,0,0,0,0,,45165.7132714815
201,49,4,274,0,0,0,0,0,0,0,0,0,0,,45165.7132714815
202,50,4,275,0,0,0,0,0,0,0,0,0,0,,45165.7132714815
203,53,4,278,0,0,0,0,0,0,0,0,0,0,,45165.7132714815
204,52,4,281,0,0,0,0,0,0,0,0,0,0,,45165.7132714815
205,51,4,282,0,0,0,0,0,0,0,0,0,0,,45165.7132714815
206,58,4,285,0,0,0,0,0,0,0,0,0,0,,45165.7132714815
207,48,4,286,0,0,0,0,0,0,0,0,0,0,,45165.7132714815
208,47,4,287,0,0,0,0,0,0,0,0,0,0,,45165.7132714815
209,36,4,288,0,0,0,0,0,0,0,0,0,0,,45165.7132714815
210,36,4,293,0,0,0,0,0,0,0,0,0,0,,45165.7132714815
211,47,4,294,0,0,0,0,0,0,0,0,0,0,,45165.7132714815
212,25,4,295,0,0,0,0,0,0,0,0,0,0,,45165.7132714815
213,48,4,296,0,0,0,0,0,0,0,0,0,0,,45165.7132714815
214,31,4,297,0,0,0,0,0,0,0,0,0,0,,45165.7132714815
215,58,4,298,0,0,0,0,0,0,0,0,0,0,,45165.7132714815
216,38,4,300,0,0,0,0,0,0,0,0,0,0,,45165.7132714815
217,38,4,307,0,0,0,0,0,0,0,0,0,0,,45165.7132714815
218,38,4,308,0,0,0,0,0,0,0,0,0,0,,45165.7132716667
219,58,4,309,0,0,0,0,0,0,0,0,0,0,,45165.7132716667
220,31,4,310,0,0,0,0,0,0,0,0,0,0,,45165.7132716667
221,48,4,311,0,0,0,0,0,0,0,0,0,0,,45165.7132716667
222,25,4,312,0,0,0,0,0,0,0,0,0,0,,45165.7132716667
223,47,4,313,0,0,0,0,0,0,0,0,0,0,,45165.7132716667
224,36,4,314,0,0,0,0,0,0,0,0,0,0,,45165.7132716667
225,47,4,315,0,0,0,0,0,0,0,0,0,0,,45165.7132716667
226,39,4,317,0,0,0,0,0,0,0,0,0,0,,45165.7132727546
227,40,4,318,0,0,0,0,0,0,0,0,0,0,,45165.7132727546
228,41,4,319,0,0,0,0,0,0,0,0,0,0,,45165.7132727546
229,44,4,323,0,0,0,0,0,0,0,0,0,0,,45165.7132727546
230,46,4,324,0,0,0,0,0,0,0,0,0,0,,45165.7132727546
231,59,4,326,0,0,0,0,0,0,0,0,0,0,,45165.7132727546
232,40,4,328,0,0,0,0,0,0,0,0,0,0,,45165.7132727546
233,59,4,330,0,0,0,0,0,0,0,0,0,0,,45165.7132727546
234,59,4,331,0,0,0,0,0,0,0,0,0,0,,45165.7132727546
235,44,4,335,0,0,0,0,0,0,0,0,0,0,,45165.7132727546
236,40,4,336,0,0,0,0,0,0,0,0,0,0,,45165.7132727546
237,13,4,338,0,0,0,0,0,0,0,0,0,0,,45165.7132751042
238,60,4,340,0,0,0,0,0,0,0,0,0,0,,45165.7132751042
239,61,4,341,0,0,0,0,0,0,0,0,0,0,,45165.7132751042
240,62,4,344,0,0,0,0,0,0,0,0,0,0,,45165.7132751042
241,63,4,349,0,0,0,0,0,0,0,0,0,0,,45165.7132751042
242,64,4,350,0,0,0,0,0,0,0,0,0,0,,45165.7132751042
243,65,4,352,0,0,0,0,0,0,0,0,0,0,,45165.7132751042
244,47,4,353,0,0,0,0,0,0,0,0,0,0,,45165.7132751042
245,36,4,354,0,0,0,0,0,0,0,0,0,0,,45165.7132751042
246,36,4,355,0,0,0,0,0,0,0,0,0,0,,45165.7132751042
247,47,4,356,0,0,0,0,0,0,0,0,0,0,,45165.7132751042
248,13,4,357,0,0,0,0,0,0,0,0,0,0,,45165.7132751042
249,65,4,358,0,0,0,0,0,0,0,0,0,0,,45165.7132751042
250,60,4,360,0,0,0,0,0,0,0,0,0,0,,45165.7132751042
251,61,4,361,0,0,0,0,0,0,0,0,0,0,,45165.7132752778
252,64,4,365,0,0,0,0,0,0,0,0,0,0,,45165.7132752778
253,64,4,370,0,0,0,0,0,0,0,0,0,0,,45165.7132752778
254,61,4,372,0,0,0,0,0,0,0,0,0,0,,45165.7132752778
255,61,4,373,0,0,0,0,0,0,0,0,0,0,,45165.7132752778
256,60,4,374,0,0,0,0,0,0,0,0,0,0,,45165.7132752778
257,65,4,375,0,0,0,0,0,0,0,0,0,0,,45165.7132752778
258,13,4,376,0,0,0,0,0,0,0,0,0,0,,45165.7132752778
259,47,4,377,0,0,0,0,0,0,0,0,0,0,,45165.7132752778
260,36,4,378,0,0,0,0,0,0,0,0,0,0,,45165.7132752778
261,61,4,379,0,0,0,0,0,0,0,0,0,0,,45165.7132752778
262,64,4,383,0,0,0,0,0,0,0,0,0,0,,45165.7132752778
263,47,4,384,0,0,0,0,0,0,0,0,0,0,,45165.7132752778
