LinkID,LinkType,rmID,anID,Modified,anVersion,anDate,Status,UTCModDate
249,4,46,1357:7667,0,,0.0,0,45165.713235162
250,4,47,542309462182:9000:68081704,0,,0.0,0,45165.713235162
251,4,48,542309462765:9000:68081704,0,,0.0,0,45165.713235162
252,4,49,542309462182:9000:68081704,0,,0.0,0,45165.713235162
253,4,50,542309462765:9000:68081704,0,,0.0,0,45165.713235162
254,4,51,20738570:60525,0,,0.0,0,45165.713235162
255,11,11,0EA18C2E86014AF88366A79CA7CCA992,0,,0.0,0,45165.713235162
256,11,12,BA8E84AED48145BFA41975D3D9DBB5AF,0,,0.0,0,45165.713235162
257,0,194,38173637417:1030:68081704,0,10F0DE45D626EDA1D0F2C4A9720DF977,0.0,0,45165.713235162
258,11,13,4240571-00057,0,,0.0,0,45165.7132371644
259,4,52,45546570:6742,0,,0.0,0,45165.7132371644
260,11,14,31111_4328233-00272,0,,0.0,0,45165.7132371644
261,4,53,141249654:7884,0,,0.0,0,45165.7132371644
262,4,54,20740841:60525,0,,0.0,0,45165.7132371644
263,11,15,44494_350981-00356,0,,0.0,0,45165.7132371644
264,4,55,754141457:60716,0,,0.0,0,45165.7132371644
265,4,56,45546570:6742,0,,0.0,0,45165.7132371644
266,4,57,141249654:7884,0,,0.0,0,45165.7132371644
267,4,58,20740841:60525,0,,0.0,0,45165.7132371644
268,4,59,20740841:60525,0,,0.0,0,45165.7132371644
269,4,60,20740841:60525,0,,0.0,0,45165.7132371644
270,4,61,141249654:7884,0,,0.0,0,45165.7132371644
271,4,62,45546570:6742,0,,0.0,0,45165.7132371644
272,4,63,141249654:7884,0,,0.0,0,45165.7132371644
273,0,195,38173637418:1030:68081704,0,D3A8B55D616E10125967DC4CDDD13177,0.0,0,45165.7132371644
274,11,16,4240571-00066,0,,0.0,0,45165.7132391667
275,4,64,27006574:6742,0,,0.0,0,45165.7132391667
276,4,65,604141457:60716,0,,0.0,0,45165.7132391667
277,4,66,702354:7834,0,,0.0,0,45165.7132391667
278,4,67,20740662:60525,0,,0.0,0,45165.7132391667
279,4,68,3960391:60281,0,,0.0,0,45165.7132391667
280,11,17,44494_351144-00231,0,,0.0,0,45165.7132391667
281,4,69,600822569:60716,0,,0.0,0,45165.7132391667
282,11,18,4263298_00218,0,,0.0,0,45165.7132391782
283,4,70,41411272:7163,0,,0.0,0,45165.7132391782
